period,type,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2017Q4,estimate,2.04,-3.29,-0.20,1.69,1.58,1.91,2.52,4.40,2.63,3.99,3.05,1.64,2.53,2.91,0.67,2.69,4.19,0.07,1.50,1.21,3.91,-0.92,2.36,2.97,0.92,1.14,1.96
2018Q1,estimate,-1.27,-4.89,-0.64,0.56,-0.96,0.04,0.46,0.79,-1.21,1.26,-0.61,-3.66,3.17,0.99,0.05,-0.29,-3.73,-1.83,-2.05,-0.42,4.81,-4.40,-0.60,1.14,-0.90,-0.66,-0.45
2018Q2,estimate,-1.87,-3.22,-0.88,0.91,0.62,2.36,-0.25,1.56,0.40,0.08,-0.96,-8.49,1.55,-1.42,-3.01,-2.03,-5.19,-0.66,-1.97,1.04,1.19,-6.17,-0.04,2.04,-2.10,-0.09,-0.83
2018Q3,estimate,-0.33,1.23,0.58,1.34,0.82,3.05,1.67,1.45,-0.09,0.80,-0.06,-7.80,3.72,-3.44,-4.36,-0.76,-3.62,0.91,-0.59,1.80,3.56,-3.33,0.68,2.53,-0.78,0.64,0.15
2018Q4,estimate,-0.06,2.54,0.39,0.40,0.90,4.23,3.06,0.73,1.66,1.19,0.44,-5.55,4.53,-1.66,-2.36,-0.45,-1.68,-0.09,0.40,1.82,2.12,1.16,-0.70,1.75,-0.49,0.42,0.65
2019Q1,estimate,2.74,7.57,3.79,1.04,3.40,5.73,5.44,4.07,4.03,2.92,1.75,1.54,4.10,1.36,0.20,3.73,3.53,1.59,3.80,4.89,5.17,6.20,2.15,3.19,2.96,2.38,3.42
2019Q2,estimate,3.81,6.95,6.50,1.26,4.34,4.56,7.29,3.55,4.77,3.34,3.61,12.19,5.04,6.53,5.76,8.32,6.70,2.30,5.32,6.05,7.52,8.90,4.00,5.78,5.98,3.68,5.37
2019Q3,estimate,4.60,1.21,4.44,2.11,5.54,3.59,6.02,3.89,5.01,4.29,3.44,14.56,3.17,9.58,9.14,5.87,6.94,2.17,4.03,5.73,4.75,9.21,4.15,5.01,5.85,3.19,5.11
2019Q4,estimate,4.40,1.17,3.15,2.93,5.69,1.99,2.93,3.46,1.16,2.75,2.78,12.45,0.17,8.26,6.85,3.97,5.97,3.67,2.99,4.89,5.77,6.44,3.79,4.56,5.65,3.02,4.15
2020Q1,estimate,5.08,-1.30,2.23,3.91,6.59,3.15,3.16,2.96,4.01,2.30,5.44,11.03,1.29,7.96,6.12,1.99,5.04,5.01,3.47,3.28,0.93,4.86,3.10,4.81,4.87,2.76,3.94
2020Q2,estimate,2.24,-1.81,-0.30,2.26,2.62,0.96,-0.06,0.90,2.40,2.60,3.96,4.68,1.30,4.36,1.44,-1.93,1.34,2.03,1.69,1.00,-1.36,2.41,0.75,1.11,2.90,0.03,1.42
2020Q3,estimate,1.71,0.76,-0.05,1.07,0.83,0.51,-0.96,-0.15,-0.40,-1.85,2.79,-0.46,1.48,1.20,-1.55,-0.90,-0.03,2.19,2.06,0.33,-1.39,-0.36,-0.44,0.30,1.10,-0.83,0.28
2020Q4,estimate,1.88,0.24,0.79,1.15,0.48,0.52,0.56,-0.47,2.98,-0.80,2.42,-0.83,3.62,0.38,-1.04,1.08,0.77,1.35,2.06,1.68,-1.77,-1.04,0.18,-0.44,0.70,-0.48,0.61
2021Q1,estimate,-1.49,-1.50,-1.61,-1.02,-3.15,-3.05,-1.91,-2.07,-1.30,-1.46,-1.44,-2.90,0.59,-1.63,-2.21,-0.25,-1.70,-1.90,0.43,0.90,1.07,-1.75,-0.30,-3.61,-1.01,-1.77,-1.40
2021Q2,estimate,2.49,2.81,0.21,2.25,1.47,0.55,1.32,1.13,0.55,1.25,-1.00,-1.85,1.03,1.05,3.25,2.57,2.05,2.71,4.28,3.01,4.71,1.03,1.37,-1.25,1.28,2.35,1.54
2021Q3,estimate,3.57,4.78,2.82,3.60,3.47,2.62,3.11,2.56,3.25,7.25,0.09,3.29,4.12,3.98,6.50,3.90,5.25,3.37,4.66,4.33,8.27,4.99,4.55,1.26,4.15,4.37,3.94
2021Q4,estimate,3.34,5.45,4.52,3.90,3.37,3.57,2.60,4.51,1.44,6.60,1.26,2.97,7.26,3.03,5.73,3.20,6.33,4.02,4.71,4.74,8.23,5.28,5.74,3.15,4.61,5.25,4.42
2022Q1,estimate,5.61,8.63,6.05,5.93,6.75,5.28,5.29,6.05,2.17,8.15,3.95,4.05,8.77,3.81,6.69,4.87,7.46,6.61,4.46,5.13,9.02,4.35,5.54,7.24,6.05,7.05,6.00
2022Q2,estimate,3.45,6.43,7.73,3.64,4.95,2.56,4.25,4.43,2.33,5.50,4.55,4.14,6.78,2.67,2.63,5.59,5.21,4.90,2.07,4.55,7.53,2.28,4.90,6.31,5.20,5.13,4.62
2022Q3,estimate,2.24,5.10,6.15,3.28,3.36,0.41,3.81,4.04,2.75,1.93,5.64,0.77,4.35,0.98,0.29,4.25,1.68,3.71,1.64,3.31,4.58,0.09,2.04,4.05,3.63,3.75,3.01
2022Q4,estimate,2.47,4.62,4.79,3.58,4.21,0.59,5.07,2.84,3.28,3.15,5.19,2.44,-0.79,3.86,1.14,3.71,0.21,3.40,1.50,1.51,3.82,-0.64,1.58,2.46,3.73,1.86,2.64
2023Q1,estimate,3.72,4.50,6.46,4.67,3.63,2.23,5.33,2.96,6.15,3.54,4.78,3.65,-0.04,4.95,0.60,4.12,2.83,4.66,3.22,3.35,3.75,3.85,2.60,2.47,4.58,1.97,3.56
2023Q2,estimate,5.25,4.04,5.26,7.34,4.20,4.64,5.58,4.60,5.06,4.85,4.24,3.42,3.68,3.41,1.37,2.16,3.01,4.22,2.30,3.75,5.38,5.74,3.95,3.67,3.15,2.01,4.13
